id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude
2020-814507;2020-07-02;000001;Vente;45000;9;;RUE DES ARQUEBUSIERS;0465;75003;75103;Paris 3e Arrondissement;75;;;75103000AM0116;;;3650;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.365997;48.859077
2020-814508;2020-07-01;000001;Vente;148000;105;;RUE VIEILLE DU TEMPLE;9783;75003;75103;Paris 3e Arrondissement;75;;;75103000AQ0062;;;4;11.81;;;;;;;;;1;2;Appartement;12;1;;;;;;2.361559;48.860524
2020-814519;2020-07-02;000001;Vente;1000;44;;RUE DE MONTMORENCY;6517;75003;75103;Paris 3e Arrondissement;75;;;75103000AV0079;;;102;;;;;;;;;;1;2;Appartement;60;4;;;;;;2.353499;48.863803
2020-814520;2020-07-03;000001;Vente;370000;58;;RUE NOTRE DAME DE NAZARETH;6834;75003;75103;Paris 3e Arrondissement;75;;;75103000AB0035;;;4;71.5;5;;;;;;;;2;4;Local industriel. commercial ou assimilé;72;0;;;;;;2.35742;48.86789
2020-814521;2020-07-06;000001;Vente;145000;45;;RUE CHAPON;1771;75003;75103;Paris 3e Arrondissement;75;;;75103000AV0061;;;26;;5;9.25;;;;;;;2;4;Local industriel. commercial ou assimilé;10;0;;;;;;2.353441;48.864034
2020-814524;2020-07-09;000001;Vente;1993000;3;;RUE DE LA PERLE;7273;75003;75103;Paris 3e Arrondissement;75;;;75103000AP0017;;;13;;2;73.29;;;;;;;2;2;Appartement;70;3;;;;;;2.361643;48.859179
2020-814524;2020-07-09;000001;Vente;1993000;8;A;RUE BARBETTE;0666;75003;75103;Paris 3e Arrondissement;75;;;75103000AP0049;;;39;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.361343;48.859115
2020-814524;2020-07-09;000001;Vente;1993000;8;A;RUE BARBETTE;0666;75003;75103;Paris 3e Arrondissement;75;;;75103000AP0049;;;4;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.361343;48.859115
2020-814524;2020-07-09;000001;Vente;1993000;8;A;RUE BARBETTE;0666;75003;75103;Paris 3e Arrondissement;75;;;75103000AP0049;;;5;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.361343;48.859115
2020-814529;2020-07-15;000001;Vente;1778000;172;;RUE DU TEMPLE;9191;75003;75103;Paris 3e Arrondissement;75;;;75103000AG0060;;;116;;;;;;;;;;1;4;Local industriel. commercial ou assimilé;15;0;;;;;;2.361991;48.866526
2020-814529;2020-07-15;000001;Vente;1778000;172;;RUE DU TEMPLE;9191;75003;75103;Paris 3e Arrondissement;75;;;75103000AG0060;;;112;139.51;113;;116;;143;;;;4;2;Appartement;125;4;;;;;;2.361991;48.866526
2020-814532;2020-07-10;000001;Vente;102000;84;;RUE DE TURENNE;9506;75003;75103;Paris 3e Arrondissement;75;;;75103000AL0044;;;6;104.3;;;;;;;;;1;2;Appartement;100;4;;;;;;2.364917;48.861057
2020-814534;2020-07-10;000001;Vente;935000;28;;RUE NOTRE DAME DE NAZARETH;6834;75003;75103;Paris 3e Arrondissement;75;;;75103000AF0059;;;4;75.29;;;;;;;;;1;2;Appartement;72;3;;;;;;2.359749;48.867463
2020-814535;2020-07-09;000001;Vente;80000;33;;RUE DE TURENNE;9506;75003;75103;Paris 3e Arrondissement;75;;;75103000AN0017;;;10;6.26;;;;;;;;;1;3;Dépendance;;0;;;;;;2.364221;48.856734
2020-814537;2020-07-01;000001;Vente;315930;59;;RUE DES ARCHIVES;0420;75003;75103;Paris 3e Arrondissement;75;;;75103000AR0002;;;36;21.55;37;21.55;;;;;;;2;3;Dépendance;;0;;;;;;2.35866;48.86199
2020-814537;2020-07-01;000001;Vente;315930;59;;RUE DES ARCHIVES;0420;75003;75103;Paris 3e Arrondissement;75;;;75103000AR0002;;;38;21.55;;;;;;;;;1;3;Dépendance;;0;;;;;;2.35866;48.86199
2020-814538;2020-07-06;000001;Vente;350000;97;;RUE VIEILLE DU TEMPLE;9783;75003;75103;Paris 3e Arrondissement;75;;;75103000AQ0055;;;7;33.51;;;;;;;;;1;2;Appartement;32;2;;;;;;2.361125;48.860313
2020-814541;2020-07-09;000001;Vente;840820;11;;RUE DE PICARDIE;7395;75003;75103;Paris 3e Arrondissement;75;;;75103000AH0089;;;19;53.93;;;;;;;;;1;2;Appartement;64;3;;;;;;2.362264;48.863546
2020-814545;2020-07-21;000001;Vente;730000;236;;RUE SAINT MARTIN;8694;75003;75103;Paris 3e Arrondissement;75;;;75103000AV0055;;;17;;6;53.83;;;;;;;2;2;Appartement;58;3;;;;;;2.353398;48.864358
2020-814550;2020-07-17;000001;Vente;480000;67;;RUE NOTRE DAME DE NAZARETH;6834;75003;75103;Paris 3e Arrondissement;75;;;75103000AB0096;;;30;;32;;6;54.08;;;;;3;2;Appartement;51;2;;;;;;2.355221;48.867817
2020-814551;2020-07-16;000001;Vente;458000;83;;RUE VIEILLE DU TEMPLE;9783;75003;75103;Paris 3e Arrondissement;75;;;75103000AP0035;;;14;35.5;57;;;;;;;;2;2;Appartement;30;1;;;;;;2.359334;48.859371
2020-814553;2020-07-17;000001;Vente;520000;35;;RUE NOTRE DAME DE NAZARETH;6834;75003;75103;Paris 3e Arrondissement;75;;;75103000AB0071;;;42;;52;46.04;;;;;;;2;2;Appartement;45;2;;;;;;2.358136;48.867319
2020-814557;2020-07-09;000001;Vente;100;126;;RUE VIEILLE DU TEMPLE;9783;75003;75103;Paris 3e Arrondissement;75;;;75103000AK0056;;;9;3.24;;;;;;;;;1;4;Local industriel. commercial ou assimilé;33;0;;;;;;2.36404;48.861556
2020-814558;2020-07-09;000001;Vente;528400;126;;RUE VIEILLE DU TEMPLE;9783;75003;75103;Paris 3e Arrondissement;75;;;75103000AK0056;;;1;35.18;10;;15;;18;;19;;6;4;Local industriel. commercial ou assimilé;33;0;;;;;;2.36404;48.861556
2020-814559;2020-07-22;000001;Vente;130000;173;;RUE DU TEMPLE;9191;75003;75103;Paris 3e Arrondissement;75;;;75103000AE0034;;;18;8.61;19;8.1;20;;;;;;3;2;Appartement;18;1;;;;;;2.359745;48.865116
2020-814560;2020-07-10;000001;Vente;280000;66;;RUE DE SAINTONGE;8716;75003;75103;Paris 3e Arrondissement;75;;;75103000AJ0003;;;61;18.86;;;;;;;;;1;2;Appartement;22;1;;;;;;2.365531;48.864066
2020-814564;2020-07-21;000001;Vente;1268000;8;;RUE DE BRAQUE;1261;75003;75103;Paris 3e Arrondissement;75;;;75103000AT0049;;;17;76.55;64;;;;;;;;2;2;Appartement;82;3;;;;;;2.356757;48.861174
2020-814568;2020-07-22;000001;Vente;9900;9;;RUE DE LA PERLE;7273;75003;75103;Paris 3e Arrondissement;75;;;75103000AP0023;;;37;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.360896;48.859482
2020-814569;2020-07-21;000001;Vente;650000;48;;RUE DE SAINTONGE;8716;75003;75103;Paris 3e Arrondissement;75;;;75103000AJ0049;;;27;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.364038;48.862903
2020-814569;2020-07-21;000001;Vente;650000;48;;RUE DE SAINTONGE;8716;75003;75103;Paris 3e Arrondissement;75;;;75103000AJ0049;;;25;51.06;;;;;;;;;1;2;Appartement;56;3;;;;;;2.364038;48.862903
2020-814571;2020-07-09;000001;Vente;810000;153;;RUE DU TEMPLE;9191;75003;75103;Paris 3e Arrondissement;75;;;75103000AE0049;;;3;59.18;;;;;;;;;1;4;Local industriel. commercial ou assimilé;124;0;;;;;;2.358847;48.864224
2020-814574;2020-07-03;000001;Vente;2390000;17;;RUE MESLAY;6286;75003;75103;Paris 3e Arrondissement;75;;;75103000AF0052;;;26;;38;;4;198.43;7;1;8;1;5;2;Appartement;201;4;;;;;;2.360614;48.867481
2020-814580;2020-07-21;000001;Vente;45000;83;;RUE DU TEMPLE;9191;75003;75103;Paris 3e Arrondissement;75;;;75103000AT0094;;;219;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.355955;48.861966
2020-814582;2020-07-01;000001;Vente;40000;1;A;RUE PAYENNE;7205;75003;75103;Paris 3e Arrondissement;75;;;75103000AO0029;;;52;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.361578;48.857703
2020-814583;2020-07-20;000001;Vente;1350000;210;;RUE SAINT MARTIN;8694;75003;75103;Paris 3e Arrondissement;75;;;75103000AV0086;;;33;;4;100.02;;;;;;;2;2;Appartement;100;4;;;;;;2.352953;48.863461
2020-814586;2020-07-09;000001;Vente;46000;9;B;RUE DU PERCHE;7248;75003;75103;Paris 3e Arrondissement;75;;;75103000AQ0051;;;184;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.361025;48.860682
2020-814588;2020-07-23;000001;Vente;350000;66;;RUE CHAPON;1771;75003;75103;Paris 3e Arrondissement;75;;;75103000AV0058;;;7;25.01;;;;;;;;;1;2;Appartement;25;1;;;;;;2.35321;48.86427
2020-814592;2020-07-20;000001;Vente;2220000;16;;RUE DEBELLEYME;2616;75003;75103;Paris 3e Arrondissement;75;;;75103000AL0027;;;13;;;;;;;;;;1;2;Appartement;98;5;;;;;;2.363667;48.861176
2020-814592;2020-07-20;000001;Vente;2220000;16;;RUE DEBELLEYME;2616;75003;75103;Paris 3e Arrondissement;75;;;75103000AL0027;;;14;;;;;;;;;;1;2;Appartement;32;1;;;;;;2.363667;48.861176
2020-814598;2020-07-10;000001;Vente;2500;2;;RUE BLONDEL;1021;75003;75103;Paris 3e Arrondissement;75;;;75103000AB0127;;;35;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.355085;48.868584
2020-814601;2020-07-23;000001;Vente;595500;6;;RUE DES HAUDRIETTES;4483;75003;75103;Paris 3e Arrondissement;75;;;75103000AR0005;;;56;38.15;792;;;;;;;;2;2;Appartement;39;1;;;;;;2.357892;48.86205
2020-814603;2020-07-06;000001;Vente;448770;32;;RUE DEBELLEYME;2616;75003;75103;Paris 3e Arrondissement;75;;;75103000AK0072;;;4;31.17;5;;;;;;;;2;2;Appartement;36;2;;;;;;2.363631;48.862075
2020-814604;2020-07-07;000001;Vente;654322;53;;RUE MESLAY;6286;75003;75103;Paris 3e Arrondissement;75;;;75103000AB0035;;;75;;76;51.05;;;;;;;2;2;Appartement;52;2;;;;;;2.35742;48.86789
2020-814605;2020-07-10;000001;Vente;1287800;245;;RUE SAINT MARTIN;8694;75003;75103;Paris 3e Arrondissement;75;;;75103000AD0082;;;8;88.15;;;;;;;;;1;2;Appartement;86;3;;;;;;2.353218;48.8659
2020-814605;2020-07-10;000001;Vente;1287800;245;;RUE SAINT MARTIN;8694;75003;75103;Paris 3e Arrondissement;75;;;75103000AD0082;;;22;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.353218;48.8659
2020-814608;2020-07-07;000001;Vente;1160000;168;;RUE DU TEMPLE;9191;75003;75103;Paris 3e Arrondissement;75;;;75103000AG0058;;;23;;24;;52;110.14;;;;;3;2;Appartement;110;4;;;;;;2.36172;48.86632
2020-814608;2020-07-07;000001;Vente;1160000;168;;RUE DU TEMPLE;9191;75003;75103;Paris 3e Arrondissement;75;;;75103000AG0058;;;23;;24;;52;110.14;;;;;3;3;Dépendance;;0;;;;;;2.36172;48.86632
2020-814612;2020-07-06;000001;Vente;918300;84;;RUE DES ARCHIVES;0420;75003;75103;Paris 3e Arrondissement;75;;;75103000AI0093;;;16;;9;72.27;;;;;;;2;2;Appartement;69;5;;;;;;2.360646;48.863042
2020-814613;2020-07-27;000001;Vente;596470;10;;RUE SAINT CLAUDE;8520;75003;75103;Paris 3e Arrondissement;75;;;75103000AL0063;;;28;44.9;52;;;;;;;;2;2;Appartement;46;2;;;;;;2.366281;48.860314
2020-814614;2020-07-17;000001;Vente;876000;31;;RUE DE MONTMORENCY;6517;75003;75103;Paris 3e Arrondissement;75;;;75103000AV0096;;;4;100.82;;;;;;;;;1;4;Local industriel. commercial ou assimilé;90;0;;;;;;2.354013;48.863284
2020-814623;2020-07-29;000001;Vente;308569.1;13;;RUE NOTRE DAME DE NAZARETH;6834;75003;75103;Paris 3e Arrondissement;75;;;75103000AF0092;;;42;73.7;;;;;;;;;1;2;Appartement;72;3;;;;;;2.360208;48.866949
2020-814626;2020-07-10;000001;Vente;320000;1;;BD DES FILLES DU CALVAIRE;3642;75003;75103;Paris 3e Arrondissement;75;;;75103000AK0030;;;9;23.76;;;;;;;;;1;2;Appartement;24;1;;;;;;2.366915;48.861098
2020-814631;2020-07-23;000001;Vente;138344400;106;;RUE DU TEMPLE;9191;75003;75103;Paris 3e Arrondissement;75;;;75103000AR0025;;;;;;;;;;;;;0;4;Local industriel. commercial ou assimilé;5712;0;S;sols;;;1383;2.358118;48.862446
2020-814631;2020-07-23;000001;Vente;138344400;106;;RUE DU TEMPLE;9191;75003;75103;Paris 3e Arrondissement;75;;;75103000AR0025;;;;;;;;;;;;;0;4;Local industriel. commercial ou assimilé;919;0;S;sols;;;1383;2.358118;48.862446
2020-814633;2020-07-16;000001;Vente;580000;6;;RUE DES HAUDRIETTES;4483;75003;75103;Paris 3e Arrondissement;75;;;75103000AR0005;;;903;;94;37.86;;;;;;;2;2;Appartement;38;1;;;;;;2.357892;48.86205
2020-814635;2020-07-23;000001;Vente;960000;40;;RUE DE TURENNE;9506;75003;75103;Paris 3e Arrondissement;75;;;75103000AN0029;;;56;67.5;66;;;;;;;;2;2;Appartement;65;2;;;;;;2.364669;48.857628
2020-814636;2020-07-30;000001;Vente;4300000;45;;RUE MESLAY;6286;75003;75103;Paris 3e Arrondissement;75;;;75103000AB0031;;;;;;;;;;;;;0;4;Local industriel. commercial ou assimilé;29;0;S;sols;;;233;2.357976;48.867972
2020-814636;2020-07-30;000001;Vente;4300000;45;;RUE MESLAY;6286;75003;75103;Paris 3e Arrondissement;75;;;75103000AB0031;;;;;;;;;;;;;0;2;Appartement;60;3;S;sols;;;233;2.357976;48.867972
2020-814636;2020-07-30;000001;Vente;4300000;45;;RUE MESLAY;6286;75003;75103;Paris 3e Arrondissement;75;;;75103000AB0031;;;;;;;;;;;;;0;2;Appartement;55;3;S;sols;;;233;2.357976;48.867972
2020-814636;2020-07-30;000001;Vente;4300000;45;;RUE MESLAY;6286;75003;75103;Paris 3e Arrondissement;75;;;75103000AB0031;;;;;;;;;;;;;0;2;Appartement;35;2;S;sols;;;233;2.357976;48.867972
2020-814636;2020-07-30;000001;Vente;4300000;45;;RUE MESLAY;6286;75003;75103;Paris 3e Arrondissement;75;;;75103000AB0031;;;;;;;;;;;;;0;2;Appartement;26;2;S;sols;;;233;2.357976;48.867972
2020-814636;2020-07-30;000001;Vente;4300000;45;;RUE MESLAY;6286;75003;75103;Paris 3e Arrondissement;75;;;75103000AB0031;;;;;;;;;;;;;0;2;Appartement;60;3;S;sols;;;233;2.357976;48.867972
2020-814636;2020-07-30;000001;Vente;4300000;45;;RUE MESLAY;6286;75003;75103;Paris 3e Arrondissement;75;;;75103000AB0031;;;;;;;;;;;;;0;2;Appartement;70;3;S;sols;;;233;2.357976;48.867972
2020-814636;2020-07-30;000001;Vente;4300000;45;;RUE MESLAY;6286;75003;75103;Paris 3e Arrondissement;75;;;75103000AB0031;;;;;;;;;;;;;0;2;Appartement;33;1;S;sols;;;233;2.357976;48.867972
2020-814636;2020-07-30;000001;Vente;4300000;45;;RUE MESLAY;6286;75003;75103;Paris 3e Arrondissement;75;;;75103000AB0031;;;;;;;;;;;;;0;2;Appartement;13;1;S;sols;;;233;2.357976;48.867972
2020-814636;2020-07-30;000001;Vente;4300000;45;;RUE MESLAY;6286;75003;75103;Paris 3e Arrondissement;75;;;75103000AB0031;;;;;;;;;;;;;0;4;Local industriel. commercial ou assimilé;75;0;S;sols;;;233;2.357976;48.867972
